network_condition,website,time_seconds,CacheV2LoadTester,ClassicLoadTester,enhancement
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aliexpress,21600,330,18752,0.9824018771331058
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aliexpress,86400,14824,14167,-0.04637537940283758
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aliexpress,604800,364,7951,0.9542195950194944
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aliexpress,31622400,426,9900,0.9569696969696969
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon,60,582,21191,0.9725355103581709
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon,3600,451,377,-0.1962864721485411
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon,21600,24578,379,-63.849604221635886
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon,86400,809,27776,0.9708741359447005
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon,604800,393,39797,0.9901248837852099
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon,31622400,584,35890,0.9837280579548621
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.co,60,23494,19774,-0.18812582178618387
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.co,3600,21229,329,-63.525835866261396
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.co,21600,25470,31670,0.1957688664351121
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.co,86400,32461,472,-67.77330508474576
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.co,604800,30530,32171,0.05100867240682602
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.co,31622400,23013,25530,0.09858989424206815
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.com,60,1625,20921,0.9223268486210028
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.com,3600,456,541,0.15711645101663585
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.com,21600,673,335,-1.008955223880597
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.com,86400,21273,508,-40.875984251968504
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.com,604800,1316,18159,0.9275290489564403
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/amazon.com,31622400,459,22865,0.9799256505576208
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanas.com,60,2058,2235,0.07919463087248323
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanas.com,3600,709,2752,0.7423691860465116
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanas.com,21600,3476,470,-6.395744680851064
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanas.com,86400,624,5154,0.8789289871944121
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanas.com,604800,483,388,-0.24484536082474226
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanas.com,31622400,362,409,0.11491442542787286
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanexpress,60,1866,8892,0.7901484480431848
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanexpress,3600,13637,14772,0.07683455185486054
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanexpress,21600,15042,10436,-0.44135684170180145
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanexpress,86400,905,408,-1.2181372549019607
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanexpress,604800,11126,13354,0.1668413958364535
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/americanexpress,31622400,1007,511,-0.9706457925636007
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aniagotuje,60,1961,10670,0.8162136832239925
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aniagotuje,3600,9338,2039,-3.5796959293771455
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aniagotuje,21600,409,10978,0.9627436691564948
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aniagotuje,86400,10535,11285,0.0664599025254763
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aniagotuje,604800,1379,1433,0.03768318213538032
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aniagotuje,31622400,5444,417,-12.05515587529976
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/antaranews,60,10503,1775,-4.91718309859155
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/antaranews,3600,897,550,-0.6309090909090909
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/antaranews,21600,732,562,-0.302491103202847
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/antaranews,86400,615,9931,0.9380727016413252
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/antaranews,604800,511,374,-0.3663101604278075
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/antaranews,31622400,718,9114,0.9212201009436033
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aol,60,466,829,0.4378769601930036
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aol,3600,549,950,0.42210526315789476
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aol,21600,912,918,0.006535947712418301
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aol,86400,802,956,0.16108786610878661
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aol,604800,940,817,-0.15055079559363524
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/aol,31622400,690,477,-0.44654088050314467
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apkpure,60,1074,12065,0.9109821798590966
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apkpure,3600,725,447,-0.6219239373601789
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apkpure,21600,587,4751,0.8764470637760472
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apkpure,86400,5609,380,-13.760526315789473
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apkpure,604800,5788,395,-13.653164556962025
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apkpure,31622400,7033,10313,0.31804518568796664
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apple,60,2611,10268,0.745714842228282
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apple,3600,619,7105,0.9128782547501759
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apple,21600,540,8697,0.9379096240082787
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apple,86400,606,484,-0.25206611570247933
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apple,604800,8799,8082,-0.08871566443949518
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/apple,31622400,810,568,-0.426056338028169
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/ar.wikipedia,60,786,368,-1.1358695652173914
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/ar.wikipedia,3600,749,591,-0.2673434856175973
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/ar.wikipedia,21600,533,699,0.2374821173104435
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/ar.wikipedia,86400,809,437,-0.851258581235698
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/ar.wikipedia,604800,388,472,0.17796610169491525
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/ar.wikipedia,31622400,623,701,0.11126961483594865
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/archive,60,4150,3551,-0.16868487749929598
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/archive,3600,4956,3192,-0.5526315789473685
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/archive,21600,728,2827,0.742483197736116
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/archive,86400,3854,411,-8.37712895377129
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/archive,604800,598,2596,0.7696456086286595
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/archive,31622400,729,563,-0.29484902309058614
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/argos.co,60,4590,2403,-0.9101123595505618
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/argos.co,3600,575,413,-0.3922518159806295
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/argos.co,21600,631,478,-0.3200836820083682
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/argos.co,86400,578,3243,0.8217699660807893
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/argos.co,604800,3143,419,-6.501193317422435
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/argos.co,31622400,3214,564,-4.698581560283688
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/as,60,28688,633,-44.320695102685626
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/as,3600,534,419,-0.2744630071599045
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/as,21600,1028,422,-1.4360189573459716
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/as,86400,538,838,0.35799522673031026
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/as,604800,544,689,0.2104499274310595
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/as,31622400,763,781,0.023047375160051217
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/asda,60,1462,2467,0.40737738143494123
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/asda,3600,15671,10092,-0.5528141101862861
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/asda,21600,593,13638,0.9565185511072005
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/asda,86400,734,629,-0.1669316375198728
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/asda,604800,576,756,0.23809523809523808
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/asda,31622400,513,602,0.1478405315614618
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/att,60,659,616,-0.0698051948051948
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/att,3600,507,455,-0.11428571428571428
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/att,21600,10413,656,-14.873475609756097
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/att,86400,686,476,-0.4411764705882353
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/att,604800,579,399,-0.45112781954887216
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/att,31622400,659,585,-0.1264957264957265
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/az24,60,1640,2676,0.38714499252615847
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/az24,3600,4190,5229,0.1986995601453433
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/az24,21600,331,2921,0.8866826429305033
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/az24,86400,10287,4568,-1.2519702276707532
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/az24,604800,4474,484,-8.243801652892563
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/az24,31622400,7418,3030,-1.4481848184818482
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bahn,60,12866,5114,-1.5158388736800938
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bahn,3600,3628,450,-7.062222222222222
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bahn,21600,10787,7069,-0.5259584099589758
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bahn,86400,572,12093,0.9526999090382866
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bahn,604800,679,519,-0.30828516377649323
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bahn,31622400,5795,4869,-0.19018278907373176
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankbazaar,60,827,8243,0.8996724493509645
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankbazaar,3600,397,679,0.41531664212076586
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankbazaar,21600,810,20841,0.9611343025766518
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankbazaar,86400,11448,27922,0.5900007162810686
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankbazaar,604800,617,539,-0.14471243042671614
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankbazaar,31622400,17577,488,-35.01844262295082
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankofamerica,60,8012,2406,-2.3300083125519535
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankofamerica,3600,15063,488,-29.866803278688526
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankofamerica,21600,724,7250,0.9001379310344828
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankofamerica,86400,683,494,-0.3825910931174089
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankofamerica,604800,404,540,0.2518518518518518
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/bankofamerica,31622400,883,7257,0.8783243764641037
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/baomoi,60,3055,8710,0.6492537313432836
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/baomoi,3600,8507,514,-15.550583657587548
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/baomoi,21600,1044,651,-0.6036866359447005
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/baomoi,86400,413,655,0.36946564885496186
"(latency: 100, download: 1048576, upload: 1048576)",http://localhost:8080/baomoi,604800,11952,505,-22.667326732673267
